No,year,month,day,hour,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
3481.0,2013,7,24,0,53.0,87.0,5.0,51.0,400.0,53.0,22.8,993.1,21.8,0.0,SSW,0.0,Aotizhongxin
3482.0,2013,7,24,1,58.0,111.0,5.0,66.0,500.0,26.0,22.9,993.6,22.1,0.0,N,1.4,Aotizhongxin
3483.0,2013,7,24,2,63.0,110.0,4.0,69.0,600.0,13.0,22.9,993.6,21.9,0.0,NE,1.6,Aotizhongxin
3484.0,2013,7,24,3,63.0,129.0,6.0,94.0,600.0,2.0,22.5,994.2,21.5,0.0,NE,1.3,Aotizhongxin
3485.0,2013,7,24,4,69.0,111.0,5.0,75.0,500.0,2.0,22.0,994.4,21.3,0.0,NE,1.1,Aotizhongxin
3486.0,2013,7,24,5,76.0,108.0,6.0,63.0,400.0,2.0,22.2,994.9,21.5,0.0,ENE,0.9,Aotizhongxin
3487.0,2013,7,24,6,74.0,99.0,6.0,56.0,400.0,4.0,23.6,995.3,22.0,0.0,N,0.2,Aotizhongxin
3488.0,2013,7,24,7,69.0,90.0,7.0,39.0,400.0,35.0,25.9,995.7,21.8,0.0,ESE,0.9,Aotizhongxin
3489.0,2013,7,24,8,52.0,54.0,12.0,61.0,500.0,12.0,29.6,995.9,20.2,0.0,WSW,1.1,Aotizhongxin
3490.0,2013,7,24,9,44.0,66.0,19.0,70.0,600.0,14.0,32.9,995.5,17.9,0.0,NW,1.4,Aotizhongxin
3491.0,2013,7,24,10,37.0,68.0,17.0,67.0,700.0,34.0,35.2,995.1,17.0,0.0,NE,2.2,Aotizhongxin
3492.0,2013,7,24,11,15.0,28.0,14.0,47.0,400.0,74.0,36.4,994.7,13.2,0.0,N,3.1,Aotizhongxin
3493.0,2013,7,24,12,14.0,28.0,13.0,25.0,300.0,102.0,37.1,994.0,14.4,0.0,N,2.1,Aotizhongxin
3494.0,2013,7,24,13,10.0,9.0,7.0,15.0,200.0,116.0,37.6,993.5,14.2,0.0,N,3.0,Aotizhongxin
3495.0,2013,7,24,14,12.0,24.0,8.0,15.0,200.0,123.0,37.9,993.5,16.2,0.0,N,2.0,Aotizhongxin
3496.0,2013,7,24,15,8.0,37.0,10.0,15.0,200.0,130.0,37.4,993.5,15.8,0.0,NNW,2.0,Aotizhongxin
3497.0,2013,7,24,16,13.0,32.0,11.0,15.0,200.0,133.0,37.6,993.3,17.1,0.0,WNW,1.3,Aotizhongxin
3498.0,2013,7,24,17,13.0,39.0,12.0,18.0,200.0,135.0,36.9,993.1,15.9,0.0,WNW,1.5,Aotizhongxin
3499.0,2013,7,24,18,14.0,35.0,11.0,19.0,200.0,135.0,32.9,993.2,21.7,0.0,NW,0.0,Aotizhongxin
3500.0,2013,7,24,19,14.0,39.0,10.0,26.0,900.0,114.0,28.4,993.9,19.9,0.0,NNE,0.1,Aotizhongxin
3501.0,2013,7,24,20,19.0,54.0,8.0,39.0,400.0,88.0,26.0,994.8,21.4,0.0,W,0.7,Aotizhongxin
3502.0,2013,7,24,21,27.0,94.0,9.0,84.0,600.0,18.0,25.2,995.3,19.8,0.0,NE,0.5,Aotizhongxin
3503.0,2013,7,24,22,25.0,66.0,10.0,101.0,700.0,2.0,25.3,995.3,20.5,0.0,WNW,0.0,Aotizhongxin
3504.0,2013,7,24,23,20.0,49.0,9.0,70.0,400.0,26.0,26.0,995.5,19.2,0.0,NE,0.9,Aotizhongxin
3505.0,2013,7,25,0,22.0,70.0,10.0,88.0,400.0,2.0,25.0,995.5,19.1,0.0,N,0.1,Aotizhongxin
3506.0,2013,7,25,1,22.0,70.0,8.0,83.0,400.0,2.0,23.0,995.6,20.1,0.0,NNE,0.1,Aotizhongxin
3507.0,2013,7,25,2,17.0,40.0,8.0,65.0,300.0,2.0,22.6,995.4,19.4,0.0,ENE,0.7,Aotizhongxin
3508.0,2013,7,25,3,18.0,52.0,5.0,41.0,280.0,72.4,23.2,995.3,19.1,0.0,NE,1.8,Aotizhongxin
3509.0,2013,7,25,4,21.0,49.0,6.0,41.0,200.0,2.0,22.9,996.1,18.4,0.0,N,0.6,Aotizhongxin
3510.0,2013,7,25,5,19.0,64.0,6.0,56.0,300.0,2.0,23.1,996.4,19.3,0.0,ENE,1.1,Aotizhongxin
3511.0,2013,7,25,6,15.0,48.0,5.0,53.0,200.0,2.0,25.0,996.3,19.6,0.0,NE,1.6,Aotizhongxin
3512.0,2013,7,25,7,11.0,27.0,5.0,39.0,200.0,7.0,26.9,996.8,19.5,0.0,NE,2.1,Aotizhongxin
3513.0,2013,7,25,8,15.0,71.0,6.0,50.0,300.0,4.0,29.0,997.1,19.9,0.0,NE,0.7,Aotizhongxin
3514.0,2013,7,25,9,18.0,84.0,6.0,51.0,600.0,14.0,32.0,997.0,19.6,0.0,NNE,0.6,Aotizhongxin
3515.0,2013,7,25,10,22.0,75.0,7.0,45.0,900.0,44.0,33.4,997.3,17.6,0.0,ENE,2.1,Aotizhongxin
3516.0,2013,7,25,11,19.0,64.0,5.0,37.0,300.0,75.0,34.3,997.3,17.5,0.0,SSW,1.0,Aotizhongxin
3517.0,2013,7,25,12,19.0,64.0,5.0,37.0,440.0,112.455,35.5,996.1,19.4,0.0,SSW,1.0,Aotizhongxin
3518.0,2013,7,25,13,19.0,43.0,8.0,36.0,300.0,148.0,35.9,995.4,19.4,0.0,SSW,2.2,Aotizhongxin
3519.0,2013,7,25,14,22.0,54.0,9.0,34.0,300.0,195.0,36.0,994.9,17.2,0.0,WSW,2.7,Aotizhongxin
3520.0,2013,7,25,15,23.0,42.0,7.0,26.0,300.0,192.0,35.7,994.3,18.3,0.0,SW,2.2,Aotizhongxin
3521.0,2013,7,25,16,23.0,71.0,10.0,28.0,300.0,196.0,35.5,994.4,19.0,0.0,SW,2.1,Aotizhongxin
3522.0,2013,7,25,17,41.0,109.0,15.0,32.0,600.0,235.0,34.4,994.4,21.1,0.0,SSW,2.0,Aotizhongxin
3523.0,2013,7,25,18,41.0,100.0,15.0,34.0,700.0,227.0,32.9,995.1,21.7,0.0,S,1.4,Aotizhongxin
3524.0,2013,7,25,19,71.0,180.0,38.0,49.0,1800.0,266.0,31.3,995.9,22.3,0.0,S,2.1,Aotizhongxin
3525.0,2013,7,25,20,70.0,169.0,30.0,58.0,1300.0,186.0,30.0,996.5,22.4,0.0,SSW,0.8,Aotizhongxin
3526.0,2013,7,25,21,77.0,146.0,29.0,57.0,1700.0,132.0,28.8,997.1,22.3,0.0,SSW,1.3,Aotizhongxin
3527.0,2013,7,25,22,70.0,139.0,25.0,67.0,1300.0,79.0,28.4,997.1,21.7,0.0,SSW,1.2,Aotizhongxin
3528.0,2013,7,25,23,50.0,114.0,20.0,78.0,900.0,30.0,27.5,997.3,22.0,0.0,N,0.4,Aotizhongxin
3529.0,2013,7,26,0,42.0,98.0,26.0,84.0,1000.0,2.0,26.3,997.8,21.3,0.0,NE,0.5,Aotizhongxin
3530.0,2013,7,26,1,41.0,96.0,21.0,68.0,700.0,2.0,26.2,997.7,20.5,0.0,SE,1.4,Aotizhongxin
3531.0,2013,7,26,2,34.0,79.0,17.0,56.0,400.0,6.0,25.9,997.4,20.7,0.0,E,0.9,Aotizhongxin
3532.0,2013,7,26,3,27.0,57.0,23.0,53.0,400.0,12.0,26.1,997.7,20.7,0.0,NNE,1.5,Aotizhongxin
3533.0,2013,7,26,4,31.0,81.0,31.0,53.0,700.0,3.0,25.7,997.8,21.6,0.0,NE,0.9,Aotizhongxin
3534.0,2013,7,26,5,32.0,62.0,27.0,50.0,1000.0,6.0,25.7,997.8,20.9,0.0,NE,1.2,Aotizhongxin
3535.0,2013,7,26,6,35.0,71.0,39.0,57.0,1500.0,2.0,26.0,997.9,20.6,0.0,NE,0.9,Aotizhongxin
3536.0,2013,7,26,7,42.0,80.0,67.0,66.0,2300.0,2.0,26.7,998.0,20.5,0.0,NE,1.4,Aotizhongxin
3537.0,2013,7,26,8,42.0,88.0,74.0,66.0,2300.0,5.0,26.1,998.6,20.7,0.0,SE,0.7,Aotizhongxin
3538.0,2013,7,26,9,44.0,87.0,82.0,69.0,2100.0,8.0,24.6,998.9,22.7,1.1,NW,1.1,Aotizhongxin
3539.0,2013,7,26,10,46.0,111.0,71.0,70.0,1900.0,10.0,24.3,999.1,22.9,0.2,SW,0.9,Aotizhongxin
3540.0,2013,7,26,11,49.0,105.0,55.0,65.0,2000.0,22.0,23.8,999.1,22.4,0.8,ENE,1.7,Aotizhongxin
3541.0,2013,7,26,12,56.0,120.0,22.0,64.0,2400.0,20.0,23.3,999.0,22.3,0.2,NE,1.6,Aotizhongxin
3542.0,2013,7,26,13,39.0,47.0,7.0,60.0,1900.0,17.0,23.5,998.5,22.5,0.0,N,1.8,Aotizhongxin
3543.0,2013,7,26,14,53.0,47.0,7.0,62.0,2000.0,23.0,24.1,997.7,22.5,0.0,N,1.4,Aotizhongxin
3544.0,2013,7,26,15,79.0,84.0,10.0,58.0,2200.0,26.0,24.9,997.3,22.0,0.0,NE,2.3,Aotizhongxin
3545.0,2013,7,26,16,68.0,84.0,9.0,61.0,1700.0,26.0,26.0,997.1,22.3,0.0,NNE,2.3,Aotizhongxin
3546.0,2013,7,26,17,60.0,63.0,13.0,62.0,1400.0,24.0,25.7,996.8,22.2,0.0,NE,1.3,Aotizhongxin
3547.0,2013,7,26,18,66.0,63.0,12.0,60.0,1500.0,36.0,25.6,997.1,21.7,0.0,N,1.2,Aotizhongxin
3548.0,2013,7,26,19,67.0,76.0,13.0,68.0,1600.0,29.0,25.6,997.0,21.5,0.0,NE,0.8,Aotizhongxin
3549.0,2013,7,26,20,67.0,76.0,13.0,68.0,1600.0,5.0,25.3,997.5,21.8,0.0,N,1.1,Aotizhongxin
3550.0,2013,7,26,21,68.0,80.0,11.0,90.0,1500.0,2.0,25.1,997.5,23.0,0.0,W,0.0,Aotizhongxin
3551.0,2013,7,26,22,67.0,80.0,10.0,87.0,1300.0,4.0,24.6,997.1,22.3,0.0,WSW,0.4,Aotizhongxin
3552.0,2013,7,26,23,75.0,75.0,9.0,65.0,1100.0,20.0,24.5,997.1,22.4,0.0,ENE,0.0,Aotizhongxin
3553.0,2013,7,27,0,86.0,106.0,8.0,66.0,1200.0,6.0,24.6,996.6,22.5,0.0,NE,0.4,Aotizhongxin
3554.0,2013,7,27,1,91.0,106.0,8.0,62.0,1200.0,3.0,24.6,996.3,22.5,0.0,NE,1.4,Aotizhongxin
3555.0,2013,7,27,2,91.0,78.0,8.0,62.0,1100.0,2.0,24.4,996.2,22.3,0.0,NE,1.1,Aotizhongxin
3556.0,2013,7,27,3,91.0,95.0,9.0,65.0,1200.0,2.0,24.1,995.9,22.2,0.0,NNE,0.9,Aotizhongxin
3557.0,2013,7,27,4,95.0,95.0,8.0,60.0,1100.0,2.0,24.2,995.8,22.5,0.0,NE,0.7,Aotizhongxin
3558.0,2013,7,27,5,93.0,79.0,8.0,58.0,1000.0,4.0,24.3,995.6,23.1,0.4,NNE,0.7,Aotizhongxin
3559.0,2013,7,27,6,92.0,73.0,7.0,49.0,1000.0,17.0,24.0,995.5,23.1,0.1,NE,0.2,Aotizhongxin
3560.0,2013,7,27,7,90.0,73.0,6.0,49.0,1200.0,14.0,24.0,996.2,23.3,0.2,NE,0.9,Aotizhongxin
3561.0,2013,7,27,8,89.0,54.0,5.0,47.0,1100.0,17.0,23.9,995.7,23.2,0.0,ENE,0.6,Aotizhongxin
3562.0,2013,7,27,9,85.0,43.0,5.0,41.0,1000.0,31.0,24.1,995.7,23.4,0.1,NE,0.6,Aotizhongxin
3563.0,2013,7,27,10,90.0,47.0,4.0,43.0,1300.0,33.0,24.4,995.3,23.7,0.0,NE,0.9,Aotizhongxin
3564.0,2013,7,27,11,90.0,61.0,5.0,49.0,1300.0,19.0,24.9,994.8,23.7,0.0,ESE,0.7,Aotizhongxin
3565.0,2013,7,27,12,90.0,58.0,5.0,49.0,1300.0,19.0,26.1,994.7,24.1,0.0,ENE,0.7,Aotizhongxin
3566.0,2013,7,27,13,94.0,77.0,4.0,60.0,1400.0,11.0,26.8,994.3,23.7,0.0,NE,1.5,Aotizhongxin
3567.0,2013,7,27,14,105.0,94.0,5.0,74.0,1500.0,4.0,26.9,993.9,23.8,0.0,NE,1.1,Aotizhongxin
3568.0,2013,7,27,15,122.0,88.0,4.0,82.0,1700.0,13.0,27.5,993.9,24.1,0.0,NE,1.5,Aotizhongxin
3569.0,2013,7,27,16,118.0,97.0,4.0,75.0,1600.0,25.0,27.3,993.9,23.8,0.0,NE,1.0,Aotizhongxin
3570.0,2013,7,27,17,123.0,109.0,5.0,77.0,1200.0,30.0,26.8,994.7,23.7,0.0,N,1.1,Aotizhongxin
3571.0,2013,7,27,18,131.0,107.0,5.0,75.0,1300.0,41.0,26.5,994.1,23.8,0.0,ENE,0.0,Aotizhongxin
3572.0,2013,7,27,19,131.0,100.0,5.0,75.0,1400.0,30.0,25.3,994.6,23.9,0.0,E,0.0,Aotizhongxin
3573.0,2013,7,27,20,134.0,114.0,4.0,90.0,1400.0,16.0,24.6,995.2,23.7,0.0,E,0.5,Aotizhongxin
3574.0,2013,7,27,21,135.0,116.0,4.0,99.0,1500.0,4.0,24.5,995.2,23.8,0.0,W,0.5,Aotizhongxin
3575.0,2013,7,27,22,137.0,103.0,5.0,112.0,1500.0,2.0,24.0,995.1,23.5,0.0,NE,0.6,Aotizhongxin
3576.0,2013,7,27,23,137.0,119.0,5.0,105.0,1500.0,2.0,23.6,994.3,23.1,0.0,N,0.1,Aotizhongxin
3577.0,2013,7,28,0,147.0,107.0,6.0,97.0,1800.0,2.0,23.4,994.3,23.1,0.0,NNE,0.2,Aotizhongxin
3578.0,2013,7,28,1,149.0,151.0,6.0,97.0,1900.0,2.0,22.9,994.3,22.6,0.0,NNE,0.0,Aotizhongxin
3579.0,2013,7,28,2,148.0,151.0,7.0,82.0,2800.0,2.0,22.8,994.2,22.6,0.0,NNE,0.6,Aotizhongxin
3580.0,2013,7,28,3,144.0,123.0,6.0,59.0,1600.0,23.8,22.6,994.4,22.4,0.0,N,0.4,Aotizhongxin
3581.0,2013,7,28,4,135.0,112.0,6.0,56.09680000000001,2700.0,2.0,22.2,994.6,22.0,0.0,NNE,0.6,Aotizhongxin
3582.0,2013,7,28,5,100.0,24.0,3.0,52.0,2500.0,2.0,22.0,995.0,21.8,0.0,WNW,0.4,Aotizhongxin
3583.0,2013,7,28,6,82.0,24.0,3.0,52.0,1900.0,2.0,23.4,995.3,23.4,0.0,SSW,0.4,Aotizhongxin
3584.0,2013,7,28,7,63.0,40.0,3.0,58.0,1400.0,2.0,24.7,995.7,22.6,0.0,SE,0.7,Aotizhongxin
3585.0,2013,7,28,8,61.0,28.0,7.0,56.0,1500.0,2.0,29.0,995.6,22.7,0.0,SW,0.6,Aotizhongxin
3586.0,2013,7,28,9,53.0,53.0,9.0,47.0,1100.0,24.0,31.6,995.8,21.5,0.0,WSW,1.3,Aotizhongxin
3587.0,2013,7,28,10,48.0,12.0,14.0,40.0,1000.0,51.0,33.4,995.7,20.5,0.0,SE,0.9,Aotizhongxin
3588.0,2013,7,28,11,46.0,31.0,12.0,48.0,800.0,73.0,33.0,995.1,21.5,0.0,WSW,1.8,Aotizhongxin
3589.0,2013,7,28,12,46.0,7.0,12.0,48.0,600.0,100.0,33.8,994.8,21.6,0.0,W,1.6,Aotizhongxin
3590.0,2013,7,28,13,46.0,31.0,8.0,42.0,500.0,136.0,34.7,993.9,21.0,0.0,SW,2.2,Aotizhongxin
3591.0,2013,7,28,14,56.0,25.0,7.0,34.0,400.0,214.0,36.2,993.8,22.4,0.0,SW,1.5,Aotizhongxin
3592.0,2013,7,28,15,52.0,20.0,8.0,30.0,400.0,169.0,37.1,993.5,22.1,0.0,WSW,1.8,Aotizhongxin
3593.0,2013,7,28,16,55.0,49.0,8.0,28.0,300.0,171.0,35.8,993.3,23.1,0.0,WSW,3.6,Aotizhongxin
3594.0,2013,7,28,17,50.0,75.0,10.0,38.0,400.0,181.0,34.6,993.5,23.3,0.0,SW,2.2,Aotizhongxin
3595.0,2013,7,28,18,43.0,55.0,7.0,39.0,400.0,167.0,32.6,993.7,22.4,0.0,SW,2.4,Aotizhongxin
3596.0,2013,7,28,19,32.0,26.0,4.0,41.0,400.0,126.0,31.3,993.8,21.8,0.0,SW,1.6,Aotizhongxin
3597.0,2013,7,28,20,30.0,34.0,4.0,50.0,400.0,97.0,30.6,994.7,22.8,0.0,SW,1.6,Aotizhongxin
3598.0,2013,7,28,21,29.0,66.0,3.0,58.0,500.0,78.0,29.3,994.7,23.3,0.0,SSW,1.1,Aotizhongxin
3599.0,2013,7,28,22,31.0,75.0,3.0,58.0,500.0,59.0,27.3,994.7,24.0,0.0,WSW,0.4,Aotizhongxin
3600.0,2013,7,28,23,32.0,78.0,4.0,78.0,500.0,25.0,26.8,994.7,24.6,0.0,N,0.0,Aotizhongxin
3601.0,2013,7,29,0,36.0,92.0,4.0,87.0,600.0,3.0,26.5,994.7,22.3,0.0,NE,0.8,Aotizhongxin
3602.0,2013,7,29,1,41.0,105.0,3.0,94.0,800.0,2.0,26.5,994.5,22.8,0.0,NE,1.2,Aotizhongxin
3603.0,2013,7,29,2,45.0,92.0,7.0,104.0,800.0,2.0,26.7,994.6,23.2,0.0,NE,0.7,Aotizhongxin
3604.0,2013,7,29,3,45.0,92.0,7.0,104.0,900.0,2.0,26.2,994.6,23.3,0.0,NE,0.9,Aotizhongxin
3605.0,2013,7,29,4,49.0,108.0,6.0,88.0,800.0,2.0,26.1,994.6,23.4,0.0,NNE,0.7,Aotizhongxin
3606.0,2013,7,29,5,55.0,108.0,5.0,80.0,700.0,2.0,26.2,994.7,23.3,0.0,E,0.7,Aotizhongxin
3607.0,2013,7,29,6,70.0,100.0,5.0,69.0,600.0,2.0,27.0,995.3,23.7,0.0,NNE,0.7,Aotizhongxin
3608.0,2013,7,29,7,60.0,75.0,5.0,57.0,600.0,8.0,28.8,995.2,24.4,0.0,N,0.8,Aotizhongxin
3609.0,2013,7,29,8,46.0,73.0,6.0,50.0,800.0,29.0,28.2,995.2,24.0,0.0,NE,1.2,Aotizhongxin
3610.0,2013,7,29,9,50.0,95.0,5.0,57.0,800.0,37.0,28.4,995.6,25.0,0.0,ENE,0.1,Aotizhongxin
3611.0,2013,7,29,10,70.0,142.0,6.0,55.0,600.0,50.0,27.5,995.9,25.5,0.0,NW,0.8,Aotizhongxin
3612.0,2013,7,29,11,83.0,157.0,5.0,83.0,900.0,20.0,28.8,995.9,25.8,0.0,SW,0.9,Aotizhongxin
3613.0,2013,7,29,12,90.0,138.0,4.0,106.0,1400.0,14.0,29.8,995.6,25.8,0.0,S,1.3,Aotizhongxin
3614.0,2013,7,29,13,89.0,109.0,6.0,104.0,1200.0,23.0,29.8,994.8,22.5,0.0,SW,1.8,Aotizhongxin
3615.0,2013,7,29,14,88.0,118.0,7.0,100.0,1000.0,50.0,30.4,993.6,24.8,0.0,SW,1.1,Aotizhongxin
3616.0,2013,7,29,15,48.0,48.0,8.0,61.0,600.0,80.0,30.8,993.4,24.0,0.0,SSW,0.5,Aotizhongxin
3617.0,2013,7,29,16,35.0,49.0,5.0,67.0,600.0,101.0,30.5,992.8,24.6,0.0,WSW,0.2,Aotizhongxin
3618.0,2013,7,29,17,52.0,67.0,5.0,79.0,700.0,156.0,31.5,992.8,23.6,0.0,WSW,1.0,Aotizhongxin
3619.0,2013,7,29,18,37.0,27.0,5.0,66.0,700.0,203.0,30.2,992.9,22.4,0.0,SW,1.4,Aotizhongxin
3620.0,2013,7,29,19,43.0,78.0,4.0,88.0,800.0,150.0,27.9,993.5,22.8,0.0,WSW,1.4,Aotizhongxin
3621.0,2013,7,29,20,58.0,127.0,4.0,116.0,1000.0,91.0,28.6,994.3,22.8,0.0,WSW,1.7,Aotizhongxin
3622.0,2013,7,29,21,61.0,92.0,5.0,89.0,900.0,58.0,27.9,994.0,22.6,0.0,SW,3.6,Aotizhongxin
3623.0,2013,7,29,22,71.0,139.0,4.0,90.0,900.0,31.0,27.3,994.2,23.1,0.0,SW,2.3,Aotizhongxin
3624.0,2013,7,29,23,92.0,131.0,8.0,64.0,1100.0,39.0,26.7,993.2,22.8,0.0,WSW,1.2,Aotizhongxin
3625.0,2013,7,30,0,97.0,131.0,6.0,60.0,1000.0,33.0,24.5,992.7,22.9,0.0,N,0.6,Aotizhongxin
3626.0,2013,7,30,1,86.0,102.0,7.0,59.0,800.0,31.0,23.6,992.5,22.8,0.0,SSE,0.5,Aotizhongxin
3627.0,2013,7,30,2,72.0,77.0,6.0,62.0,800.0,17.0,23.9,992.0,22.7,0.0,NNE,1.3,Aotizhongxin
3628.0,2013,7,30,3,56.0,74.0,6.0,79.0,700.0,2.0,23.5,991.9,22.5,0.0,NE,0.8,Aotizhongxin
3629.0,2013,7,30,4,86.0,146.0,5.0,80.0,900.0,2.0,23.1,992.4,22.1,0.0,ENE,0.8,Aotizhongxin
3630.0,2013,7,30,5,117.0,172.0,5.0,72.0,1100.0,2.0,22.9,992.7,22.1,0.0,NE,0.0,Aotizhongxin
3631.0,2013,7,30,6,120.0,144.0,4.0,66.0,1100.0,2.0,24.1,992.7,22.7,0.0,NE,1.2,Aotizhongxin
3632.0,2013,7,30,7,142.0,163.0,6.0,77.0,1200.0,2.0,26.5,993.2,23.6,0.0,N,1.2,Aotizhongxin
3633.0,2013,7,30,8,157.0,182.0,7.0,86.0,1200.0,8.0,28.6,993.5,24.0,0.0,NNE,0.9,Aotizhongxin
3634.0,2013,7,30,9,172.0,198.0,9.0,82.0,1200.0,36.0,30.3,993.1,22.7,0.0,NE,1.4,Aotizhongxin
3635.0,2013,7,30,10,180.0,203.0,10.0,73.0,1200.0,84.0,31.5,993.0,24.1,0.0,SW,1.3,Aotizhongxin
3636.0,2013,7,30,11,167.0,203.0,10.0,64.0,1100.0,142.0,33.0,991.9,23.3,0.0,S,1.1,Aotizhongxin
3637.0,2013,7,30,12,166.0,147.0,12.0,67.0,1200.0,201.0,33.8,991.3,24.1,0.0,SSE,1.5,Aotizhongxin
3638.0,2013,7,30,13,189.0,213.0,11.0,84.0,1300.0,231.0,34.4,990.6,23.1,0.0,SW,2.2,Aotizhongxin
3639.0,2013,7,30,14,189.0,213.0,11.0,84.0,1100.0,291.0,34.9,990.1,22.3,0.0,WSW,2.5,Aotizhongxin
3640.0,2013,7,30,15,89.0,26.0,11.0,38.0,700.0,266.0,34.2,990.0,23.3,0.0,SSW,2.5,Aotizhongxin
3641.0,2013,7,30,16,71.0,58.0,9.0,36.0,600.0,233.0,33.8,989.1,24.7,0.0,SW,2.1,Aotizhongxin
3642.0,2013,7,30,17,57.0,51.0,7.0,34.0,500.0,194.0,32.4,989.1,24.4,0.0,SSW,2.3,Aotizhongxin
3643.0,2013,7,30,18,55.0,60.0,6.0,34.0,500.0,188.0,31.2,990.3,24.1,0.0,SSW,1.9,Aotizhongxin
3644.0,2013,7,30,19,81.0,110.0,5.0,39.0,700.0,189.0,30.1,990.9,25.0,0.0,SSW,1.9,Aotizhongxin
3645.0,2013,7,30,20,81.0,110.0,5.0,39.0,800.0,189.0,29.9,991.8,24.8,0.0,S,1.4,Aotizhongxin
3646.0,2013,7,30,21,131.0,160.0,5.0,47.0,1000.0,177.0,29.9,992.6,24.5,0.0,S,1.4,Aotizhongxin
3647.0,2013,7,30,22,105.0,106.0,7.0,42.0,800.0,146.0,29.2,993.6,25.2,0.0,WSW,0.7,Aotizhongxin
3648.0,2013,7,30,23,92.0,103.0,9.0,42.0,800.0,146.0,20.9,996.3,19.9,14.7,NE,1.1,Aotizhongxin
3649.0,2013,7,31,0,67.0,127.0,7.0,31.0,500.0,132.0,21.2,994.8,20.9,2.3,SE,0.8,Aotizhongxin
3650.0,2013,7,31,1,13.0,13.0,3.0,26.0,200.0,96.0,21.3,993.5,21.0,0.8,NE,1.0,Aotizhongxin
3651.0,2013,7,31,2,9.0,9.0,3.0,50.0,300.0,60.0,21.5,994.2,21.3,0.0,SSW,0.8,Aotizhongxin
3652.0,2013,7,31,3,3.0,3.0,3.0,33.0,260.0,52.8,21.1,993.9,20.9,0.0,WSW,0.7,Aotizhongxin
3653.0,2013,7,31,4,16.0,16.0,5.0,35.4968,200.0,38.0,21.4,993.5,21.2,0.0,W,0.0,Aotizhongxin
3654.0,2013,7,31,5,16.0,15.0,3.0,38.0,300.0,42.0,21.8,993.7,21.8,0.0,NE,1.0,Aotizhongxin
3655.0,2013,7,31,6,14.0,3.0,3.0,54.0,300.0,28.0,22.5,994.5,22.5,0.0,NNE,0.8,Aotizhongxin
3656.0,2013,7,31,7,18.0,20.0,3.0,74.0,400.0,7.0,24.0,994.8,21.9,0.0,SW,1.5,Aotizhongxin
3657.0,2013,7,31,8,29.0,46.0,5.0,83.0,600.0,3.0,26.3,994.7,21.7,0.0,SE,0.1,Aotizhongxin
3658.0,2013,7,31,9,33.0,29.0,7.0,76.0,500.0,34.0,28.2,994.9,21.7,0.0,SE,1.3,Aotizhongxin
3659.0,2013,7,31,10,30.0,38.0,6.0,75.0,500.0,58.0,29.9,994.5,22.6,0.0,SSW,1.2,Aotizhongxin
3660.0,2013,7,31,11,43.0,69.0,9.0,89.0,600.0,69.0,31.2,993.7,23.3,0.0,ESE,0.9,Aotizhongxin
3661.0,2013,7,31,12,45.0,56.0,8.0,71.0,600.0,111.0,31.8,993.2,22.5,0.0,SW,3.0,Aotizhongxin
3662.0,2013,7,31,13,46.0,58.0,9.0,41.0,500.0,179.0,33.2,992.9,23.2,0.0,SSE,2.2,Aotizhongxin
3663.0,2013,7,31,14,59.0,92.0,12.0,36.0,600.0,236.0,33.4,992.3,23.7,0.0,S,1.6,Aotizhongxin
3664.0,2013,7,31,15,70.0,127.0,13.0,34.0,600.0,240.0,32.3,992.5,24.4,0.0,S,1.7,Aotizhongxin
3665.0,2013,7,31,16,80.0,121.0,12.0,38.0,700.0,229.0,31.7,992.5,25.3,0.0,SW,1.6,Aotizhongxin
3666.0,2013,7,31,17,83.0,115.0,8.0,36.0,800.0,217.0,31.0,992.0,25.6,0.0,W,1.0,Aotizhongxin
3667.0,2013,7,31,18,102.0,140.0,8.0,37.0,900.0,202.0,28.8,992.7,26.4,1.8,SSE,0.6,Aotizhongxin
3668.0,2013,7,31,19,117.0,198.0,8.0,54.0,900.0,186.0,22.8,995.4,21.3,1.7,NNE,4.3,Aotizhongxin
3669.0,2013,7,31,20,89.0,198.0,8.0,42.0,700.0,145.0,21.8,996.0,20.8,10.6,W,4.1,Aotizhongxin
3670.0,2013,7,31,21,19.0,19.0,3.0,18.0,300.0,133.0,22.4,996.5,22.1,1.6,NE,1.3,Aotizhongxin
3671.0,2013,7,31,22,19.0,32.0,3.0,24.0,300.0,110.0,22.6,996.7,22.3,3.6,NE,2.0,Aotizhongxin
3672.0,2013,7,31,23,31.0,32.0,3.0,42.0,500.0,75.0,22.2,997.2,21.9,0.0,ENE,1.2,Aotizhongxin
3673.0,2013,8,1,0,32.0,10.0,3.0,39.0,400.0,72.0,21.7,996.4,21.4,0.0,NE,1.2,Aotizhongxin
3674.0,2013,8,1,1,28.0,28.0,3.0,36.0,300.0,75.0,21.3,995.7,21.0,0.0,NE,1.8,Aotizhongxin
3675.0,2013,8,1,2,21.0,21.0,3.0,37.0,300.0,76.0,20.9,995.8,20.6,0.0,E,0.8,Aotizhongxin
3676.0,2013,8,1,3,22.0,7.0,3.0,26.0,200.0,77.0,20.7,996.3,20.5,0.0,WSW,0.5,Aotizhongxin
3677.0,2013,8,1,4,22.0,10.0,3.0,26.0,300.0,64.0,20.6,996.4,20.4,0.0,WNW,0.0,Aotizhongxin
